node,checkins
0,2100
1,1210
2,2100
3,1807
4,779
5,407
6,801
7,1621
8,33
9,112
10,526
11,2100
12,1816
13,1018
14,537
15,2100
16,1622
17,1577
18,821
19,1054
20,231
21,2100
22,48
23,1317
24,876
25,1880
26,817
27,681
28,286
29,1783
30,2100
31,530
32,106
33,112
34,576
35,2100
36,2100
37,2100
38,281
39,8
40,562
41,554
42,620
43,664
45,2066
46,179
47,1549
48,8
49,1927
50,422
51,920
52,750
53,83
54,212
55,241
56,199
57,263
58,179
59,5
60,458
61,959
62,2100
63,36
65,579
66,1585
67,1824
68,372
69,1598
70,20
71,318
72,228
73,0
74,269
75,431
76,539
77,123
78,373
79,77
80,201
81,11
82,47
83,292
84,117
85,10
86,407
87,138
88,543
89,37
90,56
91,114
92,949
93,214
94,3
95,88
96,22
97,322
98,91
99,69
100,14
101,387
102,1576
103,124
104,47
105,260
106,45
107,1
108,352
109,75
110,157
111,11
112,452
113,1
114,3
115,469
116,150
117,25
118,43
119,2
120,7
121,4
122,3
